perturbation,param,acc,f1,auc
None (baseline),-,0.6462962962962963,0.6037207372315778,0.6365277777777778
JPEG Compression,q=80,0.6037037037037037,0.5890410958904109,0.6417592592592593
JPEG Compression,q=60,0.5185185185185185,0.5153004860804242,0.5826543209876545
JPEG Compression,q=40,0.4981481481481482,0.49752608682216326,0.5694135802469136
JPEG Compression,q=20,0.5592592592592592,0.5525755107156285,0.5960339506172839
Gaussian Noise,std=5,0.6796296296296296,0.4405686534004826,0.6116049382716049
Gaussian Noise,std=10,0.6666666666666666,0.4,0.5028858024691358
Gaussian Noise,std=20,0.6666666666666666,0.4,0.42214506172839505
Gaussian Noise,std=40,0.6666666666666666,0.4,0.43953703703703695
