perturbation, param,acc,f1,auc
None (baseline),-,0.7405797101449275,0.7155980678353067,0.8120669896030246
JPEG Compression,q=80,0.6043478260869565,0.6027690395190716,0.7353727551984877
JPEG Compression,q=60,0.4945652173913043,0.4894971144826123,0.6649568761814745
JPEG Compression,q=40,0.48188405797101447,0.4778699294460299,0.6340737240075615
JPEG Compression,q=20,0.48079710144927534,0.4796247953572156,0.6038728733459358
Gaussian Noise,std=5,0.6739130434782609,0.435347261434218,0.6529548676748582
Gaussian Noise,std=10,0.6557971014492754,0.49360302030454895,0.5583654300567108
Gaussian Noise,std=20,0.6518115942028986,0.503911961187689,0.5349707585066162
Gaussian Noise,std=40,0.6695652173913044,0.4103310141260806,0.5001470935727789
