perturbation, param,acc,f1,auc
None (baseline),-,0.913768115942029,0.9131066917522829,0.9836058601134215
JPEG Compression,q=80,0.8942028985507247,0.8941198562154621,0.9761798991808442
JPEG Compression,q=60,0.8456521739130435,0.846876481125237,0.955449747952111
JPEG Compression,q=40,0.7731884057971015,0.7737519887797055,0.9328402646502836
JPEG Compression,q=20,0.6166666666666667,0.6069538919878011,0.8574212350346566
Gaussian Noise,std=5,0.7007246376811594,0.6931721523543087,0.8948046628859482
Gaussian Noise,std=10,0.35434782608695653,0.35434547682914913,0.5264480938878386
Gaussian Noise,std=20,0.3130434782608696,0.28353004930894155,0.4818395557655955
Gaussian Noise,std=40,0.33043478260869563,0.29514156508479444,0.4988484562066792
